Name,Number_of_tweets,Account_age,Number_of_followers,Following_to_follower_ratio,ratio_retweets,ratio_retweeted_originaltweets,ratio_favorite_originaltweets,screen_name,lazy,points,Acronyme_parti,Nom_parti,Nuance_Politique,url_image
Guillaume BACHELAY,417,1693,6654,0.039525098,0.041062802,2.55163728,0.49370277100000004,GBachelay,53,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/3443745154/26af34e0bbae60792151f4f5e60e488d_normal.jpeg
Jean-David Ciot,322,1467,1301,0.302075327,0.769716088,1.397260274,0.6575342470000001,jdciot,26,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/610745120875524096/WV1S5GSb_normal.jpg
jean pierre door,770,1477,1898,0.061116965,0.024739583,1.355140187,0.296395194,doorjean,96,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/2636522117/43e2f109ef100cf4cbd28735143e5fd6_normal.jpeg
Gilbert Collard,4412,1501,43376,0.017636481000000002,0.335511983,89.25807963,48.01639344,GilbertCollard,263,11,FN,Front National,Extrême-Droite,http://pbs.twimg.com/profile_images/540455054281433088/o_O1gWpi_normal.jpeg
BIES Philippe,2394,2187,2340,0.229059829,0.18139924600000001,1.4554759469999998,0.42272262,PhilippeBIES,254,38,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/632558984847851520/IIw6cInb_normal.jpg
François Lamy,1384,1380,10044,0.050975707,0.433647571,9.838668374,3.536491677,lamy_f,117,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/670515775808135168/QDAm8CXs_normal.jpg
Jean-François Copé,5067,2238,224867,0.009512289,0.121259843,40.07240143,7.473835125,jf_cope,351,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/694557110386999296/Ac1SnP3T_normal.jpg
Suzanne Tallard,222,1526,1329,0.556809631,0.132420091,0.736842105,0.036842105,SuzanneTallard,66,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/3129546323/4a1c0f27fae790dfd22ecaefb8cb519e_normal.jpeg
Michel MENARD,2123,2272,2857,0.254812741,0.20689655199999998,2.149493746,0.46634901700000003,Michel_MENARD,342,211,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2627051679/5m1a6juw3jipn6kn7s2g_normal.jpeg
Laurent Marcangeli,1203,2313,4175,0.128383234,0.0225,5.026427962,2.6240409209999997,LMarcangeli,61,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/378800000456243579/ceb82a3978cb0405d278b3137d1d1837_normal.jpeg
Christian Paul,4143,1936,13389,0.14205691199999998,0.43017107299999996,8.105349345,2.1828602619999997,christianpaul58,423,11,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/507194468655591424/rNzFa7G5_normal.jpeg
Sylvie Pichot,584,1202,555,0.590990991,0.23287671199999999,0.9441964290000001,0.502232143,SylviePichot,44,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/3014498741/902ae98bf4f50351bad3b7d8e263ce9e_normal.jpeg
Lionnel Luca,3386,1416,9891,0.063087655,0.003098853,27.32110662,7.0522225679999995,lionnelluca06,297,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/2129410245/IMG_1826_normal.JPG
Bruno Le Maire,5751,1629,154898,0.004157575,0.4932623,32.283859,16.02721088,BrunoLeMaire,331,28,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/702167486045798401/Gy7RaDBH_normal.jpg
Christophe Borgel,2486,1460,6130,0.116965742,0.47912444299999996,3.3704280160000004,1.206225681,chborgel,202,11,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2391403464/c5lrz2mtlaliromui1gz_normal.png
Patrick Ollier,1217,1464,6910,0.177858177,0.100577082,11.03941338,2.299725023,patrick_ollier,174,1,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/605689794715394048/EWHvP1qu_normal.jpg
Dominique Paillé,2897,2289,11851,0.11872415800000001,0.254425547,2.526070764,0.568435754,DominiquePaille,208,0,UDI,Union des Démocrates et Indépendants,Centre,http://pbs.twimg.com/profile_images/527106335570006016/1AwLNb2K_normal.jpeg
Marisol Touraine,1206,1736,93658,0.009726879,0.133779264,28.47586873,8.967181467,MarisolTouraine,122,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/568727223100649472/FXkgL-n__normal.jpeg
Abeille Laurence,2174,1518,2803,0.378879772,0.5463392029999999,4.71092952,2.214504597,LaurenceAbeille,294,20,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/1737539377/LA_normal.JPG
Nicole Ameline,245,2330,2126,0.174506115,0.436734694,1.3840579709999998,0.7753623190000001,nicoleameline,17,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/472375744/NA_edited_normal.jpg
Gérard Sebaoun,4694,2361,2749,0.423426701,0.032439177,1.670212766,0.532237266,gerardsebaoun,235,39,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/683367074001977345/eOxpQ5rm_normal.jpg
Jacques Cresta,735,1199,833,0.368547419,0.191460055,0.415672913,0.165247019,JacquesCresta,95,15,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/378800000821219743/3d7d24b88118ad55d71dcf48464507d3_normal.jpeg
Xavier BRETON,1349,2219,4124,0.17531522800000002,0.411368736,6.095298602000001,0.9377382470000001,bretonxavier,190,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/378800000632571500/4cad47edf493e446bb16a752527fa6ef_normal.jpeg
Richard Ferrand,2286,1538,3135,0.241148325,0.29855326600000004,3.581875,1.153125,RichardFerrand,222,40,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/664015046633238528/KlAMkY_B_normal.jpg
J-J Candelier,569,1742,1545,0.025889968,0.088028169,4.077220077,1.098455598,jjcandelier,20,0,PCF,Parti Communiste Français,Extrême-Gauche,http://pbs.twimg.com/profile_images/378800000019670888/07dbb8a062ac5ec7f02ede1622822007_normal.jpeg
N. Kosciusko-Morizet,8108,2574,547446,0.002369183,0.791523839,50.57847534,28.32585949,nk_m,278,24,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/673805125048262656/XeRs3wkn_normal.jpg
Véronique Massonneau,2290,1387,4580,0.232532751,0.302458297,3.706104468,1.4298300819999998,VMassonneau,283,36,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/639109754644733952/3bKFeYaT_normal.jpg
Daubresse,1426,1435,3808,0.226102941,0.357700497,4.097237569,2.0364640880000002,DAUBRESSE_MP,153,6,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/615652742380548096/rE2Yjp6R_normal.jpg
Karine Berger,4831,1582,11266,0.109888159,0.45432022299999997,3.6379114639999997,1.261066969,Karine_Berger,262,4,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/536484052342022144/1rKso24J_normal.png
Monique Iborra,1935,1632,2590,0.213899614,0.544749095,1.851136364,1.072727273,MoniqueIborra,185,41,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/433162986010591233/MMM_t6xw_normal.jpeg
Fabrice Verdier,2936,1519,3398,0.694231901,0.12461591,0.765210608,0.36271450899999996,F_Verdier,278,11,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/378800000513982846/cd2e29c875ab8908997b352fc4634541_normal.jpeg
Charles de Courson,831,1540,3446,0.145676146,0.6221419979999999,9.127388535,5.98089172,C_deCourson,46,46,UDI,Union des Démocrates et Indépendants,Centre,http://pbs.twimg.com/profile_images/695188200931856384/4UGMZ__V_normal.jpg
Hugues Fourage,2284,2425,1691,0.261975163,0.45123022799999996,2.39071257,0.708566853,HuguesFourage,239,26,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/648846162699624449/tOyXLTCK_normal.jpg
Jean-Pierre Maggi,1722,1139,632,0.305379747,0.004065041,0.074635569,0.018658892,jpmaggi_depute,68,0,PRG,Parti Radical de Gauche,Gauche,http://pbs.twimg.com/profile_images/3125271337/279985665b47f245026d04bea20fee7f_normal.jpeg
Lucette_Lousteau,1437,1428,2022,0.10089020800000001,0.455749129,0.297055058,0.11011523699999999,LucetteLousteau,154,38,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/431788895680745472/3s8O9y0z_normal.jpeg
MF Bechtel,598,1190,1011,0.290801187,0.375838926,2.620967742,0.930107527,MFBechtel,64,9,PRG,Parti Radical de Gauche,Gauche,http://pbs.twimg.com/profile_images/667287717290491908/x2Am9XDi_normal.jpg
Sébastien Huyghe,9408,2318,12870,0.091219891,0.609649123,25.78491172,8.130016051,SebastienHuyghe,347,48,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/692020147628957701/Qb1q0Z2o_normal.jpg
Colette Langlade,512,1855,1603,0.10480349300000001,0.02739726,0.150905433,0.024144869,langladecolette,15,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2229081687/Capture_d_e_cran_2012-05-18_a__15.36.10_normal.png
Yannick MOREAU,3189,1583,4265,0.17936694,0.38293147200000005,9.452956298,2.8246786630000003,YannickMOREAU,427,150,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/663064204254007297/y1qEnDuU_normal.jpg
André Santini,3352,1383,5092,0.182639434,0.24476601,3.1834488380000003,1.5311863019999998,ASantini_UDI,301,18,UDI,Union des Démocrates et Indépendants,Centre,http://pbs.twimg.com/profile_images/666964950229917696/ba8cJTxz_normal.jpg
Jean-Claude Guibal,494,1814,1362,0.028634361,0.046558704000000006,0.607218684,0.26963906600000004,jcguibal,48,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/681830695912771584/hheJu417_normal.jpg
Rachida Dati,2585,1803,106937,0.00352544,0.168556903,28.52116651,10.77093133,datirachida,261,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/1705548276/image_normal.jpg
Arnaud Montebourg,1510,2379,327469,0.014557103,0.22045152699999998,42.89182283,13.74020443,montebourg,109,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/670313252379893760/LEl7VJAw_normal.jpg
Denis_Baupin,65027,2669,16462,0.09488519,0.848089469,9.259713701,5.206543967,Denis_Baupin,336,23,EELV,Europe Ecologie Les Verts,Centre,http://pbs.twimg.com/profile_images/670904063773552640/59DQEV8t_normal.png
Virginie Duby-Muller,3784,1442,4349,0.354794206,0.379127726,1.7511289509999999,0.9478173609999999,DubyMuller,284,28,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/3694970332/6f7b99e17b2f968a2f934fa22cc89510_normal.jpeg
FM LAMBERT,9274,1451,4464,0.23499103899999998,0.45621118,3.066818961,1.519131925,fm_lambert,282,67,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/670025087995805696/XZZA8Z7e_normal.jpg
Najat Belkacem,8042,2343,474637,0.005387275,0.259305599,59.67356419,38.88978041,najatvb,312,45,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/672008664660713472/EiSy_pr-_normal.png
Fleur Pellerin,4769,2492,343058,0.005879471999999999,0.503599374,36.06935687,18.670239600000002,fleurpellerin,336,2,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/687624275981930496/fbhc3Zr4_normal.jpg
Xavier Darcos,37,2354,6181,0.0019414329999999998,0.0,0.45945945899999996,0.21621621600000002,XavierDarcos,2,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/629342867/xd3_normal.jpg
Frédéric Barbier,1116,1564,1623,0.6229205179999999,0.377697842,0.845375723,0.5057803470000001,Fred_Barbier,84,18,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/616960234507116544/udXjIjDD_normal.jpg
Daniel Goldberg,2818,2510,5839,0.09316663800000001,0.252220249,3.355819477,1.14631829,GoldbergDaniel,256,7,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/513004108672823296/SGyGs8x8_normal.jpeg
Erwann Binet,2604,1858,10243,0.08015229900000001,0.46805234799999995,11.78219971,4.2821997110000005,erwannbinet,298,102,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/683244906110959616/MS9ypKyE_normal.jpg
Fanny Dombre-Coste,1094,1497,1996,0.522044088,0.36996337,1.9258720930000002,0.75872093,F_DombreCoste,176,8,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/476362781113872384/ZkCa05Qi_normal.png
Cécile Duflot,15636,2659,324284,0.002685917,0.253582555,13.680300500000001,11.3230384,CecileDuflot,0,0,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/414482410378903552/kRnHMtTF_normal.jpeg
