Name,Number_of_tweets,Account_age,Number_of_followers,Following_to_follower_ratio,ratio_retweets,ratio_retweeted_originaltweets,ratio_favorite_originaltweets,screen_name,lazy,points,Acronyme_parti,Nom_parti,Nuance_Politique,url_image
Brigitte Allain,1381,1421,2311,0.202942449,0.42235123399999996,1.65201005,0.6733668340000001,BrigitteAllain,112,13,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/378800000664595816/dce0e15da7dd66cb46bc44f7b57caf61_normal.jpeg
Monique Rabin,816,1220,347,0.5417867439999999,0.632704403,0.45890411,0.328767123,moniqrabin,136,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/690176484175126528/mdJ4rWOS_normal.jpg
Olivier Marleix,557,769,845,0.356213018,0.651624549,9.440414508,3.9067357510000003,oliviermarleix,71,3,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/426042529453060097/gvqxH7Wp_normal.jpeg
William DUMAS,1382,1457,2201,0.191276692,0.8451757670000001,0.458937198,0.149758454,william_dumas,59,61,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/469097067864805378/tyQMi-Mw_normal.jpeg
Philippe Kemel,2343,1447,2306,0.22506504800000002,0.109777015,0.49566474,0.225915222,philippekemel,149,1,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/667457299775168512/_b-AfYm6_normal.jpg
Conchita Lacuey,21,1408,707,0.254596888,0.095238095,1.0,0.10526315800000001,ConchitaLacuey,0,0,PS,Parti Socialiste,Gauche,0
Linda Gourjade,282,1498,1901,0.234087322,0.215053763,0.840182648,0.44748858399999997,Linda_Gourjade,16,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/639707022477406208/QD9hrOMX_normal.jpg
Christian Estrosi,9266,2325,81739,0.009799484,0.139962594,30.49691917,17.02682131,cestrosi,294,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/628612291957792768/iha6ilE8_normal.jpg
Jacques Valax,227,1357,2057,0.289256198,0.140969163,1.056410256,0.17435897399999997,jvalax,10,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2307150765/1c823112de5be65bb534cec0844d0b1f_normal.jpg
Valérie Fourneyron,3393,1563,25626,0.025247795,0.299938157,8.145759717,2.36704947,vfourneyron,298,45,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/675345624099856386/pmVAL-Mj_normal.jpg
Clotilde VALTER,5744,1586,4357,0.16823502399999998,0.448574969,1.8179775280000001,0.798314607,ClotildeVALTER,381,12,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/483751931710828545/Vdini352_normal.jpeg
Gilles BOURDOULEIX,150,1399,897,0.02006689,0.02739726,2.225352113,0.823943662,GBOURDOULEIX,9,5,AUTRE,Autre,Autre,http://pbs.twimg.com/profile_images/2203736288/Gilles_Bourdouleix_normal.jpeg
Patrick Labaune,955,1468,1603,0.219588272,0.46996838799999996,1.7992047709999999,0.779324056,patricklabaune,63,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/671404724046979073/CvH3y_tw_normal.jpg
Benoist Apparu,4489,2559,50633,0.014081725,0.28933375,11.36047535,3.580985915,benoistapparu,310,5,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/510419724216180736/x6SwmAej_normal.jpeg
François de Rugy,20508,1518,18103,0.026073027000000002,0.374495811,5.8591269839999995,4.064980159,FdeRugy,285,51,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/1736905188/fdr_officiel_normal.jpg
Jean-Jacques Urvoas,2758,1676,25145,0.035553787999999996,0.35001826799999997,11.22259696,2.615514334,JJUrvoas,220,16,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/1470762527/JJUBretons_normal.jpg
laurence rossignol,8722,2333,18136,0.063299515,0.49117276200000004,11.96840149,4.551425031,laurossignol,242,7,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/586892148206915585/C_LOAaEX_normal.jpg
Jean-Yves Le Drian,661,1155,23969,0.009929492,0.118003026,18.87135506,8.420240137,JY_LeDrian,64,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/571009603446374400/NFY8ALh8_normal.jpeg
Jean-Marie Le Pen,680,1104,45349,0.0030430659999999997,0.080882353,125.0992,61.7488,lepenjm,93,0,FN,Front National,Extrême-Droite,http://pbs.twimg.com/profile_images/656881004620193792/J5RpIYFJ_normal.png
M-A Chapdelaine,2129,1351,3817,0.7291066279999999,0.350802644,2.717090909,1.0116363640000001,ma_chapdelaine,223,12,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/656775146695467008/Kn34ntKW_normal.jpg
George Pau-Langevin,1577,2336,21297,0.043339437,0.326322498,7.455061495,2.567644276,Pau_Langevin,137,1,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/378800000510885684/08ce50ac3b93f53bbabedf6ebc8fb0cf_normal.jpeg
François SAUVADET,4448,2356,10084,0.030543435,0.139794967,5.537739256,2.013723366,sauvadet,439,17,UDI,Union des Démocrates et Indépendants,Centre,http://pbs.twimg.com/profile_images/1579873756/FS_128_TWITTER_normal.jpg
JC Taugourdeau,1192,1939,1969,0.44388014200000003,0.322033898,3.2825,0.7475,JCTaugourdeau,172,49,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/686888070088671232/nX7YDq-n_normal.jpg
Jean-Marc Ayrault,3313,2526,199620,0.002474702,0.054391997000000004,23.20429752,5.674380165,jeanmarcayrault,328,27,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/3785759994/62ad67f280b316e0de8fccba9769b869_normal.png
Yves Albarello,20,1741,672,0.0,0.0,0.15,0.05,YvesAlbarello,1,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/1460148695/YA_normal.jpg
Carlos DA SILVA,3982,1733,5298,0.085881465,0.24585635399999997,5.6543040289999995,2.091117216,DaSilvaCarlos91,304,5,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/677902821858131968/8gHtpn70_normal.jpg
Alain Chrétien,629,1837,2215,0.18013544,0.466448445,2.2638036809999997,0.8128834359999999,alainchretien,46,2,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/524915695679979520/86h9ns3G_normal.jpeg
Christian Kert,2350,1492,3567,0.3431455,0.011508951000000002,0.419577404,0.133247089,christian_kert,188,11,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/626403865039081473/tyOgT7Z9_normal.jpg
Alexis Bachelay,14534,1268,8681,0.203778367,0.502338634,5.328947368,2.981203008,ABachelay,311,17,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/678891057006907393/TwpY9dME_normal.jpg
Patrick Mennucci,5477,2766,9093,0.130320026,0.315540114,5.562990309,1.5016151359999999,patrickmennucci,248,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/575787911737647104/805thzqD_normal.jpeg
Jérôme Chartier,4045,1642,13212,0.026188314,0.481550969,4.908323281,1.330518697,jechartier,243,1,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/665988315850612737/n-MuotAW_normal.jpg
Dominique TIAN,372,1444,2428,0.07001647400000001,0.132432432,3.504672897,0.8691588790000001,Dominique_TIAN,15,2,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/3211902252/918534a6f2e9bedd3e871d6a7c3f2f41_normal.jpeg
Ségolène Neuville,904,1512,6780,0.053244837999999996,0.349384099,6.366609294,2.657487091,s_neuville,95,17,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/459737584470872064/dNrA4fgJ_normal.jpeg
DeputeMartin,882,1645,577,0.344887348,0.150857143,0.286675639,0.12113055199999999,DeputeMartin,98,2,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2221120599/twitter_normal.jpg
Monique Orphé,677,1454,1421,0.44264602399999997,0.111111111,0.146666667,0.055,moniqueorphe,78,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/3192194077/3e66b3d6b4a4bf9cc8344254e1f65c39_normal.png
Jean-Vincent Placé,5566,1924,70001,0.033970942999999997,0.8514820590000001,12.72058824,5.6617647060000005,JVPlace,163,6,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/639429671780753408/yRuRByvw_normal.jpg
Valérie Pécresse,13196,2444,173854,0.00589,0.543125,50.68331053,22.38645691,vpecresse,276,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/677386584237449216/G3dJJ_ND_normal.png
Joëlle Huillier,361,1345,727,0.209078404,0.125698324,0.49201278,0.277955272,Joellehuillier,25,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/508951835109904384/W0SatM0f_normal.jpeg
Seybah Dagoma,832,1400,3788,0.12302006300000001,0.533092659,2.871134021,1.5,SeybahDagoma,86,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/654211020525862912/qmrqFUbZ_normal.jpg
Jean-Jacques GUILLET,717,1395,2240,0.061607142999999996,0.1179941,2.364548495,0.677257525,jjguillet,70,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/2198275269/jjg_normal.jpg
Claudine_Schmid,784,1566,912,0.055921053,0.13076923099999999,0.669616519,0.237463127,Claudine_Schmid,58,5,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/1713802818/Claudine-Beaukal_normal.jpg
Philippe Bas,2468,1050,2437,0.073040624,0.5922764229999999,3.409770688,0.9391824529999999,BasPhilippe,269,6,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/3533927706/1c4838f1051b702e79ee0acf03ad83f8_normal.jpeg
Aurélie Filippetti,1471,1844,161423,0.004763881,0.313096862,25.41211519,11.48857994,aurelifil,120,1,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/679773113509371904/ilWVVt2g_normal.jpg
Catherine Troallic,1798,1238,1351,0.195410807,0.577488688,1.721552878,0.49799196799999995,CaTroallic,214,42,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/605476859732758528/xtcesKZw_normal.jpg
Antoine KARAM,252,1211,1134,0.405643739,0.262948207,1.583783784,0.583783784,AKaram973,16,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/595897953690263552/ZPZwcEuC_normal.jpg
Olivier Dussopt,9836,1792,11892,0.12050117699999999,0.712896141,6.940983607000001,2.906010929,olivierdussopt,306,56,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/634704004879122432/JTJ2rP53_normal.jpg
christine Boutin,16502,2297,93804,0.019327534,0.6935233959999999,4.862487361,2.552072801,christineboutin,396,0,PCD,Parti Chrétien Démocrate,Droite,http://pbs.twimg.com/profile_images/707463012354007040/gJ_kgcnO_normal.jpg
Michel Bouvard,143,332,236,0.288135593,0.086956522,1.8333333330000001,1.079365079,m_bouvard,11,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/584671947155464192/hu0dw7cP_normal.jpg
Florent Boudié,1719,1856,2317,0.23305999100000002,0.123759486,2.309127249,0.664223851,florent_boudie,187,8,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/674493258400210948/meyYltHi_normal.jpg
Annick Girardin,1421,649,5483,0.09939814,0.325811001,9.286610879,5.323221757,AnnickGirardin,106,3,PRG,Parti Radical de Gauche,Gauche,http://pbs.twimg.com/profile_images/672026437344468992/pg1HU1PS_normal.jpg
Jean-Luc MOUDENC,2756,1599,7103,0.030691257000000003,0.371491068,11.65023202,4.319605568,jlmoudenc,236,8,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/605626274095239168/l2v_U2F8_normal.jpg
Sansu Nicolas,814,532,833,0.93997599,0.508034611,1.974874372,0.663316583,NicolasSansu,92,4,PCF,Parti Communiste Français,Extrême-Gauche,http://pbs.twimg.com/profile_images/512328773329772544/SkopzJQB_normal.jpeg
G. Chevrollier,1244,1465,1096,0.166058394,0.244157937,1.23880597,0.267590618,gchevrollier,184,55,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/2677111849/f37f782383eedde541375e98b723225b_normal.png
André VALLINI,1821,1379,5540,0.15234657,0.561606161,4.185696361000001,1.254705144,VALLINIAndre,143,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/691541809235902464/NoDGeHvt_normal.jpg
Nathalie NIESON,325,1538,1328,0.00753012,0.295950156,0.654867257,0.349557522,nnieson,29,2,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/684740725486006273/7zLlCcvQ_normal.jpg
Thierry Robert,1456,1511,2166,0.22206832899999998,0.22641509399999998,1.346883469,0.306233062,trobert974,76,4,AUTRE,Autre,Autre,http://pbs.twimg.com/profile_images/600505658941829120/UaBPrAh9_normal.jpg
N. Dupont-Aignan,6825,2492,72096,0.010957612,0.35778396799999995,45.35518072,16.37301205,dupontaignan,320,0,DLF,Debout La France,Autre,http://pbs.twimg.com/profile_images/672054572601483265/xRGGJGn1_normal.jpg
Jean-Pierre Giran,3,1993,647,0.047913447000000005,0.0,0.0,0.0,JPGiran,0,0,LR,Les Républicains,Droite,https://pbs.twimg.com/profile_images/466944517896040448/ZLoHkaPT_normal.jpeg
Christophe Castaner,6826,2170,5757,0.18794511,0.507125155,13.22941546,6.967316153,CCastaner,278,7,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/671685353229692928/Ju4eWhRd_normal.jpg
Charles Ange Ginesy,2423,2309,3632,0.172907489,0.18561389,2.577664975,0.8944162440000001,ca_ginesy,186,12,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/676701723206025216/39Npm62l_normal.jpg
Pascal Terrasse,4300,1963,18592,0.038134682,0.426018809,3.400873839,1.1409066079999999,pterrasse,261,52,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/668379154820284416/ZrG4I50s_normal.jpg
Claude Bartolone,4206,2542,83983,0.031006275,0.197278912,24.437596300000003,9.68412943,claudebartolone,335,8,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/678720797482074112/vePQpItU_normal.jpg
Nathalie Chabanne,264,1507,1434,0.562064156,0.524904215,2.008064516,0.85483871,Chabanne_Nat,17,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/604189311215521792/4vzCCxLK_normal.jpg
Jean-Marie Tetart,790,1500,1240,0.192741935,0.124365482,0.7666666670000001,0.326086957,JeanMarieTetart,65,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/461551694476632065/FgzVZWeE_normal.jpeg
jacques pelissard,8,2205,1238,0.008885299000000001,0.0,0.0,0.0,pelissard,0,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/700947290/2345_normal.jpg
Florian Philippot,5581,1499,68109,0.008207431999999999,0.141710404,115.4615108,63.5823741,f_philippot,229,0,FN,Front National,Extrême-Droite,http://pbs.twimg.com/profile_images/706769234135785472/pCSLlKc4_normal.jpg
Anne-Yvonne Le Dain,10185,1226,3569,0.515270384,0.18110972600000003,1.269128283,0.7247811190000001,Ayledain,264,11,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/3128408995/834988748a530501fdec2195642495a9_normal.png
Jean-Chr. Cambadélis,7652,2858,42279,0.092291681,0.43844961200000004,19.80176698,8.029265599,jccambadelis,243,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/672860497579024384/FPqNPFtA_normal.jpg
Franck Marlin,168,1618,1096,0.072992701,0.03030303,2.59375,0.58125,franckmarlin,15,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/1562535367/detour__2_normal.png
Hervé Mariton,2865,1488,17034,0.136550429,0.259389259,16.01848341,4.873459716,HerveMariton,288,28,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/700620576935641088/r0CiyJrM_normal.jpg
François André,1477,1547,2499,0.201680672,0.11517615199999999,0.6033690660000001,0.169218989,FrancoisAndre35,90,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2354828718/image_normal.jpg
Vincent Feltesse,9217,2539,16264,0.125184456,0.573415765,5.062318841000001,1.5478260869999998,VincentFeltesse,255,5,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/665823906985598976/Y-k5G6ng_normal.jpg
Jean-Marc Todeschini,761,466,2424,0.33869637,0.259210526,9.490230906,5.2433392539999994,JM_Todeschini,68,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/644917057704882180/83sh8ff0_normal.jpg
Marcel ROGEMONT,606,2192,2320,0.176724138,0.2,1.154958678,0.266528926,marcelrogemont,40,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/1731574400/11.06.09ppl_sur_le_mariage_homosexuel_normal.png
JeanFrédéric Poisson,3119,1390,9404,0.116014462,0.172503243,17.90125392,4.063479624,jfpoisson78,440,39,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/691275064508039168/WEXhf5Jd_normal.jpg
François Hollande,4506,2608,1466618,0.001073217,0.001558603,152.41867,72.58476428,fhollande,399,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/418416077970759680/9xCL2MCN_normal.jpeg
Jean-Michel Couve,338,1394,1635,0.019571865,0.10542168699999999,0.757575758,0.067340067,jmcouve,15,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/3208044833/b61bcd9eda0d48007b7df0f4f3adda9f_normal.jpeg
Luc CHATEL,3019,2550,47501,0.024462643,0.40676263799999995,9.835778781,2.099322799,LucChatel,222,4,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/696340511293050881/LKMgixfr_normal.jpg
Christiane Taubira,1772,2284,324792,0.000883642,0.12591756099999998,103.0368217,70.86175711,ChTaubira,192,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/557242395948236801/kGaxuPJA_normal.jpeg
Paul Molac,1079,1523,2617,0.130683989,0.35009311,4.358166188999999,1.2693409740000001,Paul_Molac,178,11,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/646343382399328256/QKY3bHTA_normal.png
Thierry MARIANI,6010,2311,25743,0.034300587,0.353051059,51.96198268,16.85851781,ThierryMARIANI,219,9,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/459378465125314560/My5w9tRj_normal.jpeg
reynes bernard,922,2352,1760,0.565909091,0.289587852,2.103816794,0.974045802,bernardreynes,67,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/431577781/Portrait_Bernard_Reynes_face_normal.jpg
Noel Mamère,1,2378,820,0.0,0.0,15.0,5.0,noelmamere,0,0,EELV,Europe Ecologie Les Verts,Gauche,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png
Sylviane Bulteau,4599,2379,3537,0.286400905,0.29175807,2.400884956,0.653539823,sylvianebulteau,357,154,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2730581263/22184cf968b28dd34b80eb73b30d6de9_normal.jpeg
Yves Jégo,9492,2361,29620,0.08193788,0.297533562,9.810666667000001,5.577777778,yvesjego,233,42,UDI,Union des Démocrates et Indépendants,Centre,http://pbs.twimg.com/profile_images/706032508136202240/ysxE0qXn_normal.jpg
Gwendal ROUILLARD,2866,1248,3384,0.601654846,0.6838777659999999,3.836666667,1.287777778,G_ROUILLARD,286,11,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2668938562/1f548ed806e9839c3b476b661083f393_normal.jpeg
Christophe Léonard,298,1659,726,0.194214876,0.163265306,1.0162601629999999,0.239837398,Ch_Leonard,16,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/609847581473120256/NgqEDkXE_normal.jpg
Hervé Pellois,839,1216,1274,0.582417582,0.418660287,0.839506173,0.263374486,HervePellois,53,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2796947477/eb8df8777b0b751f7db14656617ee343_normal.png
Geneviève Gaillard,295,1413,1400,0.446428571,0.442906574,1.5341614909999999,0.17391304300000002,gaillard_2014,8,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/553297132229505024/AaEAhYxU_normal.jpeg
Guillaume Larrivé,3255,2028,9830,0.167548321,0.390697674,21.35063613,7.156743003,GLarrive,346,38,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/657950326859911168/qJ7kzGYk_normal.jpg
Arnaud Leroy,4721,1762,3248,0.231834975,0.525208784,2.603908795,1.186970684,ar_leroy,245,42,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/1347152497/_MG_0316_c_est_la_bonne_VRAIMENT_square_normal.jpg
sergio coronado,5715,2388,11662,0.158720631,0.18035326899999998,4.903969753999999,2.274480151,sergiocoronado,388,73,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/1849176116/IMG_0107_normal.jpg
Chantal GUITTET,776,1493,1725,0.095652174,0.062015504000000006,1.0606060609999999,0.6184573,chantalguittet,63,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2708891275/5e00ed9826acabc0e0e19d7264cd9ab2_normal.png
Jean-Louis Roumégas,677,1883,2682,0.15212528,0.286350148,1.6715176719999998,0.37837837799999996,jlroumegas,65,25,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/440815370107359232/-62ZXfck_normal.jpeg
Alain LEBOEUF,1527,1440,2426,0.35614179700000004,0.601588352,3.672757475,1.320598007,a_leboeuf,120,29,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/557133449933250561/5VFrBcqS_normal.jpeg
Jean-Pierre BLAZY,6,1525,426,0.009389671,0.0,0.0,0.333333333,jpblazy,0,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/1721334679/Portrait1_normal.JPG
Pascal Canfin,3200,2142,25928,0.031548905,0.406758448,9.827531646,3.0290084389999996,pcanfin,311,6,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/671689275356766209/Y6ZboSP9_normal.jpg
Mathieu Hanotin,1334,2203,5615,0.33499554800000003,0.232330827,3.41136141,1.36532811,MathieuHanotin,175,16,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/557493306075398144/SmMFMAn5_normal.jpeg
Philippe GOSSELIN,4444,1619,6972,0.085054504,0.35328967899999997,6.9469623920000005,1.741080039,phgosselin,377,64,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/638687572068274176/_1ZXTA81_normal.jpg
IsabelleBruneau,1,1501,248,0.10080645199999999,0.0,1.0,0.0,IsabelleBrunea1,0,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/3188381941/70b3859819395142a77b6c7a368cf904_normal.jpeg
Sylvia PINEL,3321,1655,19742,0.038142032,0.520925808,3.2243547319999997,1.004632694,SylviaPinel,362,33,PRG,Parti Radical de Gauche,Gauche,http://pbs.twimg.com/profile_images/674584423384416256/Aod1-dMV_normal.jpg
Pierre-Yves Le Borgn,689,1994,2048,0.145996094,0.142649199,1.173174873,0.36842105299999994,pyleborgn,54,4,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/649535863299440640/tkJtDWzD_normal.png
Elie Aboud,591,1415,3008,1.049202128,0.20033955899999997,5.178343948999999,2.855626327,Elie_ABOUD,53,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/649157585413742592/ePjasmz__normal.jpg
Jean Louis Gagnaire,11633,2195,3486,0.6026965,0.44279393200000006,1.406693137,1.146908678,JLGagnaire,224,1,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/553197432763203584/MH7YQdQM_normal.jpeg
Frédéric Lefebvre,34216,2289,39793,0.05784937,0.9272955190000001,7.172413793,7.155172414,FLefebvre_RF,138,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/705804836659396608/MPtFaF1G_normal.jpg
Jean-Paul Bacquet,0,2219,362,0.0,0.0,0.0,0.0,jpbacquet,0,0,PS,Parti Socialiste,Gauche,http://abs.twimg.com/sticky/default_profile_images/default_profile_2_normal.png
Philippe BAUMEL,231,2604,867,0.379469435,0.043290043,1.615384615,0.5339366520000001,philippebaumel,27,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/674896125975920640/BG52NMCN_normal.jpg
Gérard Collomb,5347,2983,50808,0.054361518,0.204887218,23.22458629,11.35185185,gerardcollomb,318,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/667975700373225473/b5iqCYfl_normal.jpg
Olivier Dassault,1727,1278,2824,0.28399433399999996,0.43047508700000003,3.1841302139999996,1.742624619,ODassault,196,30,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/672011382783664128/5xIquUV6_normal.jpg
Catherine Vautrin,2976,1757,10297,0.11139166699999999,0.444558171,2.195331695,0.698402948,CaVautrin,313,12,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/665531269359534080/1SwM61Um_normal.jpg
Philippe Gomès,1541,1575,1581,0.08855155,0.834957765,1.267716535,0.094488189,PhilippeGomesCE,80,0,UDI,Union des Démocrates et Indépendants,Centre,http://pbs.twimg.com/profile_images/665788839273762817/i7OTKIR-_normal.jpg
José Bové,2252,2550,46166,0.029588875,0.33901345299999996,17.03324288,4.747625509,josebove,175,0,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/580648669130674176/Qt1Dow0o_normal.jpg
Jean-Michel Clément,181,1597,895,0.09273743,0.005524861999999999,1.1944444440000002,0.588888889,jmclement86,25,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/1818500582/JMC1_normal.jpg
Nora Berra,2086,1922,9382,0.030057557000000002,0.162578163,7.1033888570000006,2.008615738,BerraNora,176,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/649227336580206592/UF7KyHMa_normal.jpg
Gilles Lurton,1589,1457,2067,0.161103048,0.288328076,1.863475177,0.513297872,gilleslurton,174,27,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/681161073899245569/xRs32pPa_normal.png
Philippe Le Ray,976,1396,1224,0.327614379,0.368041237,2.101141925,0.554649266,PhilippeLERAY56,104,5,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/665587392380862466/UKGICAdL_normal.jpg
Damien Abad,2547,2352,5816,0.352303989,0.242030697,2.369678089,0.553997923,damienabad,347,4,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/2701490113/62df93daae709a7fe91f845c8adc4346_normal.jpeg
Jean Leonetti,2253,1631,16795,0.062875856,0.320427236,13.90307793,3.173542895,JeanLeonetti,191,12,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/456001600733986816/VBZhffQO_normal.jpeg
Jean-Michel BAYLET,1264,1716,8741,0.28692369300000004,0.086645469,4.012184508,0.7815491729999999,JMBaylet,118,0,PRG,Parti Radical de Gauche,Gauche,http://pbs.twimg.com/profile_images/703524176116768768/dv_iUmrf_normal.jpg
Valérie Boyer,21515,1794,16503,0.281585166,0.260923458,26.36603774,11.76100629,valerieboyer13,337,35,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/668509360797126656/PDje7IL__normal.jpg
Le Loch Annick,1063,1414,2076,0.027456647,0.016949153,0.662835249,0.18295019199999998,annick_leloch,140,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2229391614/Copie_de_L_gislatives_2012_0010_normal.jpg
Dominique Le Mèner,1311,1477,1324,0.178247734,0.569678407,1.633451957,0.514234875,lemenerdom,126,3,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/378800000742369569/2e0f0dd6fe07c6d9e4c794ccfb44c7ab_normal.jpeg
